,time,x,y
0,4.049410820007324,1478.0,1541.0
1,8.138181924819946,1477.0,1138.0
2,11.242786884307861,1472.0,1131.0
3,14.469536066055298,1472.0,1131.0
4,17.69852876663208,1470.0,1313.0
5,22.013603925704956,1469.0,1128.0
6,26.04805588722229,1488.0,1107.0
7,30.29733681678772,1488.0,1107.0
8,33.43629503250122,1406.0,1536.0
9,36.541624784469604,1477.0,1365.0
10,39.99163103103638,1477.0,1031.0
11,43.45423698425293,1488.0,1107.0
12,46.80628991127014,1477.0,1070.0
13,50.29302406311035,1469.0,1307.0
14,53.77648091316223,1477.0,1070.0
15,57.19482779502869,1472.0,1131.0
16,61.047306060791016,1472.0,1131.0
17,64.58610796928406,1477.0,1394.0
18,67.94374203681946,1477.0,1253.0
19,71.33036804199219,1472.0,1131.0
20,74.56571698188782,1472.0,1131.0
21,77.84326791763306,1469.0,1128.0
22,81.20970702171326,1469.0,1308.0
23,84.5891637802124,1469.0,1128.0
24,87.84267783164978,1472.0,1131.0
25,91.08007788658142,1472.0,1131.0
26,94.28389000892639,1477.0,1139.0
27,97.24365592002869,1476.0,1642.0
28,100.37060594558716,1477.0,1139.0
29,103.74016904830933,1472.0,1131.0
30,106.91496515274048,1472.0,1131.0
31,110.23236298561096,1470.0,1129.0
32,113.34830808639526,1469.0,1274.0
33,116.4279990196228,1472.0,1131.0
34,119.52240490913391,1472.0,1131.0
35,122.64937686920166,1472.0,1131.0
36,126.05104088783264,1477.0,1179.0
37,130.11694598197937,1406.0,1536.0
38,132.97977089881897,1472.0,1131.0
39,136.24355292320251,1472.0,1131.0
40,139.37048292160034,1469.0,1129.0
41,142.72080397605896,1470.0,1311.0
42,145.99617385864258,1469.0,1129.0
43,149.70430898666382,1472.0,1131.0
44,154.14570879936218,1472.0,1131.0
45,159.04288387298584,1472.0,1131.0
46,163.1190390586853,1478.0,1541.0
47,167.66085481643677,1477.0,1138.0
48,172.50410389900208,1472.0,1131.0
49,177.92421698570251,1469.0,1128.0
50,182.26705598831177,1469.0,1128.0
51,186.3702747821808,1488.0,1107.0
52,189.46884393692017,1452.0,1145.0
53,193.64817690849304,1477.0,1654.0
54,197.67785096168518,1452.0,1145.0
55,200.41262078285217,1488.0,1107.0
56,203.64486575126648,1488.0,1107.0
57,206.9441750049591,1477.0,1070.0
58,210.18293476104736,1470.0,1201.0
59,213.21977496147156,1488.0,1107.0
60,216.24315404891968,1472.0,1131.0
61,219.43416571617126,1472.0,1131.0
62,222.61108374595642,1477.0,1171.0
63,225.72035217285156,1476.0,1658.0
64,228.8398470878601,1477.0,1138.0
65,231.88951992988586,1472.0,1131.0
66,234.97858595848083,1472.0,1131.0
67,238.03351593017578,1469.0,1128.0
68,241.15516877174377,1469.0,1289.0
69,244.1506278514862,1472.0,1131.0
70,247.29103183746338,1472.0,1131.0
71,250.50215101242065,1472.0,1131.0
72,253.7215120792389,1477.0,1179.0
73,258.17158007621765,1461.0,1597.0
74,261.9196939468384,1472.0,1131.0
75,265.38655281066895,1472.0,1131.0
76,268.6488621234894,1470.0,1129.0
77,271.98627495765686,1469.0,1274.0
78,275.1170880794525,1472.0,1131.0
79,277.8430049419403,1472.0,1131.0
80,281.21407294273376,1472.0,1131.0
81,284.25161504745483,1477.0,1226.0
82,287.56630206108093,1340.0,1735.0
83,291.2064437866211,1475.0,1136.0
84,295.5645170211792,1472.0,1131.0
85,299.2219080924988,1469.0,1129.0
86,303.32662892341614,1469.0,1229.0
87,306.6972210407257,1472.0,1131.0
88,309.94323897361755,1471.0,1104.0
89,313.3748791217804,1472.0,1131.0
90,316.548712015152,1477.0,1138.0
91,319.6306037902832,1478.0,1541.0
92,322.7321810722351,1477.0,1138.0
93,325.7232129573822,1472.0,1131.0
94,328.90146112442017,1472.0,1131.0
95,332.0011999607086,1469.0,1128.0
96,335.1815948486328,1470.0,1313.0
97,338.4367609024048,1471.0,1129.0
98,341.6731278896332,1472.0,1130.0
99,344.83506894111633,1488.0,1107.0
100,348.19796109199524,1452.0,1145.0
101,351.36188888549805,1477.0,1654.0
102,354.483598947525,1452.0,1145.0
103,357.57919692993164,1488.0,1107.0
104,360.5832619667053,1488.0,1107.0
105,364.6239159107208,1477.0,1070.0
106,367.9483139514923,1477.0,1070.0
107,371.105486869812,1488.0,1107.0
108,374.05119705200195,1472.0,1131.0
109,377.2833659648895,1475.0,1136.0
110,380.6145701408386,1477.0,1416.0
111,384.0172550678253,1477.0,1344.0
112,387.446084022522,1472.0,1131.0
113,390.6548340320587,1472.0,1131.0
114,393.8599100112915,1469.0,1128.0
115,396.9616160392761,1469.0,1308.0
116,400.1079750061035,1469.0,1128.0
117,403.5943639278412,1472.0,1131.0
118,406.9390060901642,1472.0,1131.0
119,411.32306003570557,1477.0,1139.0
120,414.7467830181122,1470.0,1452.0
121,418.1914999485016,1484.0,1140.0
122,421.471382856369,1472.0,1131.0
123,424.6166579723358,1488.0,1119.0
124,427.79377603530884,1470.0,1308.0
125,430.8798921108246,1470.0,1129.0
126,433.99920296669006,1472.0,1131.0
127,437.02192091941833,1472.0,1131.0
128,440.1327340602875,1475.0,1167.0
129,443.4750440120697,1477.0,1352.0
130,447.61763095855713,1477.0,1386.0
131,451.2585639953613,1472.0,1131.0
132,454.52042508125305,1472.0,1131.0
133,457.74179792404175,1469.0,1129.0
134,460.87886595726013,1469.0,1241.0
135,464.01390981674194,1472.0,1131.0
136,467.08405590057373,1472.0,1131.0
137,470.55554699897766,1472.0,1131.0
138,475.31336307525635,1477.0,1138.0
